,05701001-0,05701002-9,05702001-6,05703001-1,05703002-K,05703003-8,05703004-6,05703006-2,05704002-5,05705001-2,05706001-8,05707002-1,05710001-K,05713001-6,05715001-7,05716001-2,05717003-4,05717005-0,05721001-K,05722001-5,05722002-3,05730002-7,05730003-5,05730005-1,05730008-6,05734001-0,05735001-6,05737002-5,05737005-K,05741001-9,05746001-6,05748001-7
1997-02-01,19.550000190734863,13.578818929805339,4.429999828338623,6.446364901259532,0.0,12.723366452368039,8.561010506498201,0.04450000077486038,65.69999694824219,1.5550000071525574,3.529999971389771,31.999999046325676,79.0999984741211,0.0,4.583958429624829,3.8950001001358032,3.2399133734901473,0.0,0.8174999952316284,0.2709999978542328,1.669999957084656,11.93035779749007,4.686750558598153,10.974673836267247,0.004000000189989805,0.0,0.1879999935626984,10.150000095367435,9.778208570729602,0.009999999776482582,0.8240000009536743,4.445000171661377
1997-03-01,16.60000038146973,13.1085449848637,1.629999995231628,9.61265954813204,0.0,6.151335568513585,8.404889124666854,0.03700000047683716,60.40000152587891,1.269999980926514,0.4619999974966049,21.70000076293945,61.70000076293945,1.1111057663958808,2.0326734603844203,4.380000114440918,3.259226381815463,0.8746508100110919,0.5580000281333923,0.2910000085830688,1.259999990463257,11.236379263149008,14.407650082490838,1.9554707584958726,0.004000000189989805,0.001000000047497451,0.2290000021457672,11.19999980926514,12.13792059296264,0.006000000052154064,6.550000190734863,21.0
1997-04-01,12.449999809265135,1.4923042774378616,0.5550000071525574,,7.788738112461151,6.0367136287999035,7.742269800608539,0.03700000047683716,30.09433119783966,1.289999961853027,0.3825000077486038,13.949999809265135,45.10000038146973,5.2515614209398915,7.110848344368704,5.069999933242798,3.4965355226528763,6.295926486623058,0.25049999356269836,0.2800000011920929,0.9539999961853027,7.448726309145195,12.174623163833097,4.13123004832471,0.004999999888241291,0.001000000047497451,0.3339999914169312,10.10000038146973,5.704016153869436,0.004999999888241291,11.5,27.69999980926514
1997-05-01,10.69999980926514,1.8682069196424005,0.8410000205039978,6.858614091962874,6.027007703598534,12.087806986562484,9.84346727696261,0.03700000047683716,4.9499218786191115,1.440000057220459,0.550000011920929,10.30000019073486,31.70000076293945,7.288127129385952,4.7652875030275474,7.889999866485596,9.042441510914943,8.072016933015291,0.2700000107288361,0.3050000071525574,0.7760000228881836,9.20613244917796,9.904627291000205,5.410302346526656,0.004999999888241291,0.001000000047497451,0.3729999959468842,9.369999885559082,8.398555644989209,0.004000000189989805,15.39999961853027,40.5
1997-06-01,10.60000038146973,0.6088398614442628,3.2949999570846558,15.990817814670768,33.88355443961672,33.35399240638105,44.70488601284951,27.659066330190647,25.200018145359284,2.0449999570846558,1.064999997615814,15.59999990463257,58.09999847412109,27.192600660598075,20.39981566463157,48.94999885559082,31.518159389423772,0.0,0.3264999985694885,1.875,10.015000343322756,17.10071331879135,33.72224503353474,31.639836026601344,0.5805000066757202,0.001000000047497451,4.139999985694885,57.70000076293945,0.0,5.75,42.55000114440918,327.0
1997-07-01,11.10000038146973,6.129230175152774,2.890000104904175,18.066450564659082,18.97039400217852,25.905708748739347,24.49358775013386,15.19342042567383,41.14138780994629,2.950000047683716,0.8569999933242798,12.89999961853027,60.09999847412109,15.223971272534701,18.112914693852627,32.20000076293945,47.36053807835632,7.1723148243882,0.2939999997615814,1.519999980926514,5.980000019073486,19.792706541819573,19.127888075748587,18.15841663444155,0.4160000085830688,1.330000042915344,1.889999985694885,40.0,29.206040506820237,2.384999990463257,21.0,212.0
1997-08-01,11.30000019073486,20.055467144990576,3.640000104904175,23.597707955178947,39.91590429242553,45.98596404969307,30.638906713538518,26.76874074747944,62.91496589702494,1.539999961853027,1.090000033378601,16.0,77.0,32.66393601691438,18.292303960663027,51.59999847412109,23.59891408226552,26.064029748934782,0.5720000267028809,2.660000085830688,9.649999618530273,28.95668571060134,27.372903633277218,10.685095004791249,0.7350000143051147,2.630000114440918,3.509999990463257,63.5,32.22732882202343,4.46999979019165,34.29999923706055,320.0
1997-09-01,19.10000038146973,25.429431646181385,7.0400002002716064,31.82909940417218,54.696046446317474,50.08561103018984,33.131381201410875,26.237951429276794,66.41534999869569,5.03000020980835,2.375,29.94999980926514,113.5,35.59426128731808,34.20751896672987,52.39999961853027,38.60788503586319,39.4088843025011,1.0399999618530273,3.1149998903274536,17.050000190734863,35.17026471443908,40.80897768426606,11.929955586727663,0.7540000081062317,2.809999942779541,5.179999828338623,59.25,35.83017636649736,3.9750001430511475,33.25,356.0
1997-10-01,24.39999961853027,41.50476349382943,7.139999866485596,47.41800933255227,49.75263918031795,36.58798537659093,41.00892811149998,33.92337882576499,40.29999923706055,4.269999980926514,2.869999885559082,30.89999961853027,108.0,52.03843298029264,48.68931165297387,43.20000076293945,41.45613896982527,53.863048510730295,1.080000042915344,3.190000057220459,16.70000076293945,36.71331342495416,37.56364938658445,26.363934056250876,0.9020000100135803,1.879999995231628,4.699999809265137,56.5,39.09664785417986,2.410000085830688,26.70000076293945,232.0
1997-11-01,35.75,11.30910009820637,11.099999904632565,39.248282770741554,20.163185990153973,30.571314827243746,42.77713638876911,12.456013300721166,85.44999694824219,19.85000038146973,3.5199999809265137,56.0,191.5,37.92780063401913,29.829329172621364,38.70000076293945,56.939195825735325,17.03306234900599,1.9649999737739559,5.25,22.649999618530273,38.63840628842455,33.32087073086136,14.162226574236106,0.6114999949932098,1.25,8.425000190734863,67.04999923706055,39.539240386161545,0.8785000145435333,16.69999980926514,218.5
1997-12-01,94.30000305175781,119.40999204483437,33.79999923706055,58.71914383486136,25.742897911380837,67.2108384018945,60.79136223808334,0.0,168.0,33.29999923706055,10.89999961853027,78.0,337.0,59.868156346247495,36.92663737286058,37.09999847412109,91.61992553017707,62.17129007174792,4.349999904632568,8.039999961853027,21.10000038146973,56.19379740351552,40.941581140032866,21.528238266400244,1.799999952316284,0.453000009059906,8.149999618530273,67.4000015258789,71.75275506194633,0.3799999952316284,9.09000015258789,306.0
1998-01-01,115.0,153.19655498459522,47.70000076293945,90.70639000661271,73.37590104960863,94.87621982887576,70.48900038375325,0.0,282.0,57.90000152587891,31.5,105.0,426.0,118.51135260950667,79.3328203440527,26.39999961853027,58.73714658561774,73.57487642463897,5.190000057220459,5.400000095367432,13.39999961853027,87.75714473943356,72.78107297610738,27.554255642868014,1.710000038146973,0.1040000021457672,3.789999961853027,51.29999923706055,74.46359250488855,0.0,5.340000152587891,344.0
1998-02-01,63.54999923706055,55.80242654790023,19.29999923706055,37.39766102965315,36.62784738943867,31.68191714665663,39.834269357468685,1.8468410008263783,149.0,15.150000095367435,2.09499990940094,50.25,198.5,36.97816497000764,25.572099030089877,23.89999961853027,41.18099684687383,18.69142660230125,1.690000057220459,2.4850000143051147,5.735000133514404,29.430223923260517,33.36545339484271,20.11259886981789,1.6549999713897705,0.14600000530481339,1.940000057220459,34.59999847412109,36.60538625044147,1.3004953222664781,8.21500015258789,136.0
1998-03-01,35.59999847412109,59.11996073286852,11.0,27.203768202046618,13.035907260107884,25.22935850603121,31.715796528961274,0.6447080108020096,88.0,5.880000114440918,1.570000052452087,31.20000076293945,135.0,18.00602865119771,21.831116297010514,23.60000038146973,35.177801435738736,31.318807807180946,0.800000011920929,0.8560000061988831,3.640000104904175,25.54748197231069,18.93203883269388,11.616586753771102,1.700000047683716,0.1309999972581863,1.25,36.0,24.157717810517102,0.0950000025331974,13.0,105.0
1998-04-01,24.800000190734863,14.098932793510786,6.995000123977661,,13.630677009033128,19.938520748514147,23.955823833185335,0.19444165663964347,74.5999984741211,3.809999942779541,0.9664999842643738,24.5,99.29999923706055,18.063711906754822,20.19863067617747,23.20000076293945,20.657526441828004,19.989465131649002,0.45900000631809235,1.0449999570846553,2.65500009059906,20.108489030838697,21.269068609883554,13.416737598852341,0.4449999928474426,0.08049999922513962,0.9980000257492065,36.65000152587891,20.848977573272844,0.09600000083446503,17.70000076293945,120.5
1998-05-01,17.70000076293945,5.243301425294228,3.450000047683716,13.876152586395879,6.795007105261618,16.805513629273214,11.848759179296303,6.2247987665798945,51.0,2.680000066757202,0.8019999861717224,17.89999961853027,71.4000015258789,13.205336879678462,9.172136751614111,19.20000076293945,21.303746524219328,16.120787119121438,0.3759999871253967,1.039999961853027,2.099999904632568,16.96790603661951,17.944894945040406,6.041666980641191,0.07599999755620956,0.09200000017881393,0.6819999814033508,24.0,15.517420016920596,0.1190000027418137,16.39999961853027,107.0
